seed,episode,total_steps,return
777,1,29,29.0
777,2,62,33.0
777,3,82,20.0
777,4,113,31.0
777,5,186,73.0
777,6,213,27.0
777,7,231,18.0
777,8,243,12.0
777,9,285,42.0
777,10,321,36.0
777,11,331,10.0
777,12,375,44.0
777,13,400,25.0
777,14,415,15.0
777,15,435,20.0
777,16,461,26.0
777,17,480,19.0
777,18,520,40.0
777,19,541,21.0
777,20,550,9.0
777,21,581,31.0
777,22,604,23.0
777,23,637,33.0
777,24,654,17.0
777,25,672,18.0
777,26,685,13.0
777,27,707,22.0
777,28,722,15.0
777,29,736,14.0
777,30,745,9.0
777,31,758,13.0
777,32,773,15.0
777,33,801,28.0
777,34,822,21.0
777,35,840,18.0
777,36,863,23.0
777,37,873,10.0
777,38,889,16.0
777,39,905,16.0
777,40,927,22.0
777,41,952,25.0
777,42,974,22.0
777,43,992,18.0
777,44,1007,15.0
777,45,1024,17.0
777,46,1071,47.0
777,47,1081,10.0
777,48,1093,12.0
777,49,1109,16.0
777,50,1118,9.0
777,51,1136,18.0
777,52,1147,11.0
777,53,1175,28.0
777,54,1197,22.0
777,55,1212,15.0
777,56,1235,23.0
777,57,1252,17.0
777,58,1265,13.0
777,59,1278,13.0
777,60,1291,13.0
777,61,1323,32.0
777,62,1336,13.0
777,63,1347,11.0
777,64,1358,11.0
777,65,1381,23.0
777,66,1406,25.0
777,67,1418,12.0
777,68,1435,17.0
777,69,1448,13.0
777,70,1491,43.0
777,71,1501,10.0
777,72,1514,13.0
777,73,1534,20.0
777,74,1572,38.0
777,75,1582,10.0
777,76,1611,29.0
777,77,1634,23.0
777,78,1658,24.0
777,79,1667,9.0
777,80,1693,26.0
777,81,1706,13.0
777,82,1720,14.0
777,83,1751,31.0
777,84,1774,23.0
777,85,1787,13.0
777,86,1804,17.0
777,87,1825,21.0
777,88,1841,16.0
777,89,1852,11.0
777,90,1875,23.0
777,91,1899,24.0
777,92,1919,20.0
777,93,1937,18.0
777,94,1976,39.0
777,95,2015,39.0
777,96,2026,11.0
777,97,2065,39.0
777,98,2102,37.0
777,99,2111,9.0
777,100,2122,11.0
777,101,2136,14.0
777,102,2150,14.0
777,103,2184,34.0
777,104,2205,21.0
777,105,2229,24.0
777,106,2268,39.0
777,107,2282,14.0
777,108,2293,11.0
777,109,2323,30.0
777,110,2334,11.0
777,111,2347,13.0
777,112,2364,17.0
777,113,2380,16.0
777,114,2400,20.0
777,115,2446,46.0
777,116,2454,8.0
777,117,2475,21.0
777,118,2510,35.0
777,119,2529,19.0
777,120,2548,19.0
777,121,2558,10.0
777,122,2570,12.0
777,123,2590,20.0
777,124,2611,21.0
777,125,2623,12.0
777,126,2648,25.0
777,127,2682,34.0
777,128,2711,29.0
777,129,2720,9.0
777,130,2736,16.0
777,131,2751,15.0
777,132,2769,18.0
777,133,2794,25.0
777,134,2838,44.0
777,135,2854,16.0
777,136,2869,15.0
777,137,2879,10.0
777,138,2894,15.0
777,139,2913,19.0
777,140,2951,38.0
777,141,2972,21.0
777,142,2985,13.0
777,143,2999,14.0
777,144,3011,12.0
777,145,3028,17.0
777,146,3040,12.0
777,147,3051,11.0
777,148,3059,8.0
777,149,3070,11.0
777,150,3084,14.0
777,151,3107,23.0
777,152,3118,11.0
777,153,3131,13.0
777,154,3143,12.0
777,155,3154,11.0
777,156,3174,20.0
777,157,3190,16.0
777,158,3206,16.0
777,159,3236,30.0
777,160,3259,23.0
777,161,3276,17.0
777,162,3285,9.0
777,163,3304,19.0
777,164,3319,15.0
777,165,3330,11.0
777,166,3345,15.0
777,167,3361,16.0
777,168,3375,14.0
777,169,3385,10.0
777,170,3397,12.0
777,171,3407,10.0
777,172,3425,18.0
777,173,3447,22.0
777,174,3456,9.0
777,175,3477,21.0
777,176,3493,16.0
777,177,3510,17.0
777,178,3522,12.0
777,179,3537,15.0
777,180,3548,11.0
777,181,3588,40.0
777,182,3597,9.0
777,183,3613,16.0
777,184,3627,14.0
777,185,3636,9.0
777,186,3653,17.0
777,187,3673,20.0
777,188,3689,16.0
777,189,3701,12.0
777,190,3710,9.0
777,191,3722,12.0
777,192,3736,14.0
777,193,3761,25.0
777,194,3775,14.0
777,195,3785,10.0
777,196,3796,11.0
777,197,3810,14.0
777,198,3822,12.0
777,199,3837,15.0
777,200,3847,10.0
777,201,3869,22.0
777,202,3885,16.0
777,203,3896,11.0
777,204,3909,13.0
777,205,3922,13.0
777,206,3937,15.0
777,207,3950,13.0
777,208,3967,17.0
777,209,3987,20.0
777,210,4008,21.0
777,211,4039,31.0
777,212,4061,22.0
777,213,4070,9.0
777,214,4078,8.0
777,215,4092,14.0
777,216,4102,10.0
777,217,4113,11.0
777,218,4122,9.0
777,219,4133,11.0
777,220,4143,10.0
777,221,4156,13.0
777,222,4173,17.0
777,223,4183,10.0
777,224,4192,9.0
777,225,4218,26.0
777,226,4234,16.0
777,227,4248,14.0
777,228,4258,10.0
777,229,4269,11.0
777,230,4278,9.0
777,231,4290,12.0
777,232,4300,10.0
777,233,4308,8.0
